name,nameFirst,nameLast,HRs
Anaheim Angels,Troy,Glaus,47
Arizona Diamondbacks,Steve,Finley,35
Atlanta Braves,Andruw,Jones,36
Atlanta Braves,Chipper,Jones,36
Baltimore Orioles,Albert,Belle,23
Boston Red Sox,Carl,Everett,34
Chicago Cubs,Sammy,Sosa,50
Chicago White Sox,Frank,Thomas,43
Cincinnati Reds,Ken,Griffey,40
Cleveland Indians,Manny,Ramirez,38
Colorado Rockies,Todd,Helton,42
Detroit Tigers,Bobby,Higginson,30
Florida Marlins,Preston,Wilson,31
Houston Astros,Jeff,Bagwell,47
Kansas City Royals,Jermaine,Dye,33
Los Angeles Dodgers,Gary,Sheffield,43
Milwaukee Brewers,Geoff,Jenkins,34
Minnesota Twins,Jacque,Jones,19
Montreal Expos,Vladimir,Guerrero,44
New York Mets,Mike,Piazza,38
New York Yankees,Bernie,Williams,30
Oakland Athletics,Jason,Giambi,43
Philadelphia Phillies,Scott,Rolen,26
Pittsburgh Pirates,Brian,Giles,35
San Diego Padres,Phil,Nevin,31
San Francisco Giants,Barry,Bonds,49
Seattle Mariners,Alex,Rodriguez,41
St. Louis Cardinals,Jim,Edmonds,42
Tampa Bay Devil Rays,Greg,Vaughn,28
Texas Rangers,Rafael,Palmeiro,39
Toronto Blue Jays,Tony,Batista,41
Toronto Blue Jays,Carlos,Delgado,41
