nameLast,nameFirst,teamID,NumYears,AvgW,AvgR
McCarthy,Joe,NYA,16,91.2500,1.8125
LaRussa,Tony,SLN,16,88.0000,2.1250
Weaver,Earl,BAL,17,87.0588,2.2353
Cox,Bobby,ATL,25,85.9600,2.2800
Lasorda,Tom,LAN,21,76.1429,2.3810
McGraw,John,NY1,31,78.2727,2.5152
Clarke,Fred,PIT,16,88.8750,2.6875
Alston,Walter,LAN,19,88.0526,3.1579
Anderson,Sparky,DET,17,78.2941,3.4706
Murtaugh,Danny,PIT,15,74.3333,3.5333
Jennings,Hughie,DET,14,80.7857,3.6429
Grimm,Charlie,CHN,14,67.5714,3.6429
Anson,Cap,CHN,19,67.5263,3.6842
Schoendienst,Red,SLN,14,74.3571,3.7143
Kelly,Tom,MIN,16,71.2500,3.9375
Robinson,Wilbert,BRO,18,76.3889,4.7222
Mack,Connie,PHA,50,71.6400,4.8600
Harris,Bucky,WS1,18,74.2222,4.8889
